Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-01-04,23.776182174682617,23.780696889758005,23.020129254328968,23.157798792520264,270597600
2016-01-05,23.18036460876465,23.88902327269363,23.112659386942752,23.866454865419666,223164000
2016-01-06,22.726728439331055,23.10362783775393,22.53940914043331,22.695132330029807,273829600
2016-01-07,21.76755714416504,22.598087154201693,21.763044152102708,22.27084099112857,324377600
2016-01-08,21.882661819458008,22.367890333756343,21.837525004022453,22.24150587304948,283192000
2016-01-11,22.23699188232422,22.356605996795746,21.968423172719636,22.336294945746253,198957600
2016-01-12,22.559720993041992,22.724473616163657,22.306950387742376,22.692877505733563,196616800
2016-01-13,21.97970962524414,22.837322975445637,21.959398572912605,22.640974193610955,249758400
2016-01-14,22.460426330566406,22.67708791417756,21.60732758683827,22.108354270452452,252680400
2016-01-15,21.921031951904297,22.05193114916815,21.521565730710137,21.71114245348447,319335600
2016-01-19,21.814956665039062,22.264074350916722,21.553158313482385,22.20990982785157,212350800
2016-01-20,21.844287872314453,22.160250637721063,21.083720567525653,21.462875541641875,289337600
2016-01-21,21.733705520629883,22.090290438750067,21.42677040290853,21.90522676969974,208646000
2016-01-22,22.889223098754883,22.89825080429807,22.200877339209892,22.25955484245245,263202000
2016-01-25,22.442367553710938,22.914053644311036,22.39045866646073,22.91179628698908,207178000
2016-01-26,22.56649398803711,22.767355737261482,22.13317437545368,22.552953288224842,300308000
2016-01-27,21.083728790283203,21.808185560146175,21.065673374507742,21.675030742985395,533478800
2016-01-28,21.23493194580078,21.331977620925375,20.85126395867116,21.16722674199719,222715200
2016-01-29,21.96841049194336,21.96841049194336,21.293605654132264,21.39290866023385,257666000
2016-02-01,21.763042449951172,21.826234665034523,21.53058463509796,21.77207015522861,163774000
2016-02-02,21.32295799255371,21.675029978460767,21.277819454707192,21.535103093925297,149428800
2016-02-03,21.744997024536133,21.85558345171246,21.232686998268267,21.440319149416332,183857200
2016-02-04,21.91971206665039,22.085358688228332,21.59976685401658,21.75179757017025,185886800
2016-02-05,21.33428192138672,21.992327574806925,21.25940221938707,21.9015623586106,185672400
2016-02-08,21.55892562866211,21.71549384781649,21.111908379419077,21.13232964362086,216085600
2016-02-09,21.55438804626465,21.7699556615148,21.31386168328073,21.395550208671985,177324800
2016-02-10,21.39101219177246,21.86298998016111,21.352437533514472,21.76541766555387,169374400
2016-02-11,21.261669158935547,21.493120536610025,21.009796517396957,21.282092154002086,200298800
2016-02-12,21.327472686767578,21.44319836905149,21.105099747228497,21.37285615589967,161405600
2016-02-16,21.92878532409668,21.97643665761015,21.468154035597856,21.56118709687598,196231600
2016-02-17,22.26462173461914,22.285042998016483,21.817604502985187,21.935598064308735,179452800
2016-02-18,21.84256362915039,22.43934194909031,21.803987248668836,22.427995649324743,156084000
2016-02-19,21.792638778686523,21.956015771329387,21.73818035820623,21.78356208673948,141496800
2016-02-22,21.983247756958008,21.987786969284326,21.765412307755714,21.853907904894076,137123200
2016-02-23,21.486312866210938,21.897023319567282,21.45454530248185,21.87433244993256,127770400
2016-02-24,21.806259155273438,21.86979428577765,21.17544360069238,21.32520646362585,145022800
2016-02-25,21.956022262573242,21.956022262573242,21.613384397880644,21.79491482808662,110330800
2016-02-26,21.990053176879883,22.241924023591572,21.915171765888896,22.0558561646213,115964400
2016-02-29,21.94013786315918,22.289582806203178,21.931061168783728,21.97871251585303,140865200
2016-03-01,22.81147575378418,22.865934179297124,22.105778903304373,22.157969454022457,201628400
2016-03-02,22.861398696899414,22.89316625882572,22.609526076482055,22.806940266626068,132678400
2016-03-03,23.031585693359375,23.079237042222026,22.793327217843622,22.82282690847467,147822800
2016-03-04,23.374221801757812,23.542136313376798,23.002086002384722,23.228998159622087,184220400
2016-03-07,23.115543365478516,23.333378840786693,22.90905245994117,23.23353693206952,143315600
2016-03-08,22.924936294555664,23.09058294064811,22.781982250461272,22.868208251965473,126247600
2016-03-09,22.94536018371582,23.049739578402512,22.752483446435647,22.98847232054568,108806800
2016-03-10,22.956703186035156,23.199499131946006,22.725253540790277,23.011163351788888,134054400
2016-03-11,23.20403480529785,23.208572286150666,23.0315811024542,23.19949559324288,109632800
2016-03-14,23.263029098510742,23.351526415421585,23.095114619371216,23.12461430207551,100304400
2016-03-15,23.730478286743164,23.8666252604754,23.5648316190471,23.589792099538325,160270800
2016-03-16,24.045879364013672,24.12302865938923,23.732739507907148,23.73727872010701,153214000
2016-03-17,24.007308959960938,24.159339702687944,23.816701831525013,23.943772096347285,137682800
2016-03-18,24.034534454345703,24.166143916515754,23.86888955471988,24.129837141626506,176820800
2016-03-21,24.032270431518555,24.4270971501143,23.857547078961193,24.03680791350588,142010800
2016-03-22,24.216062545776367,24.3454023893207,23.87342474820371,23.882501441056206,129777600
2016-03-23,24.08218765258789,24.2954856434828,24.029998823668357,24.16160829597383,102814000
2016-03-24,23.977807998657227,24.109417469508774,23.800816787402866,23.932426258254416,104532000
2016-03-28,23.868886947631836,24.095799072298128,23.839387263455862,24.052685214626855,77645600
2016-03-29,24.433902740478516,24.458863217884776,23.79854796665052,23.800817573106315,124760400
2016-03-30,24.86050033569336,25.055644968212242,24.642664829179825,24.65401113177851,182404400
2016-03-31,24.731149673461914,24.937640518604933,24.706189203583044,24.896796270730597,103553600
2016-04-01,24.958065032958984,24.960334639026417,24.551892106997837,24.683501559673957,103496000
2016-04-04,25.2144775390625,25.45727345883473,25.021600835720086,25.055638002851232,149424800
2016-04-05,24.917219161987305,25.125979626582534,24.82872357432712,24.849146565203664,106314800
2016-04-06,25.17817497253418,25.182714185551262,24.778809055954554,25.012530052663656,105616400
2016-04-07,24.62904167175293,25.05563583341364,24.533738996999272,24.94898686019794,127207600
2016-04-08,24.65627670288086,24.908147613559613,24.545088495461375,24.713004744183785,94326800
2016-04-11,24.737958908081055,25.098750084172945,24.694846781893023,24.72661434064299,117630000
2016-04-12,25.0601806640625,25.07379484030774,24.656277277563966,24.81057589154995,108929200
2016-04-13,25.423242568969727,25.491315188837632,25.14187193153654,25.14187193153654,133029200
2016-04-14,25.436851501464844,25.502656232276333,25.262129908842983,25.327934639654472,101895600
2016-04-15,24.92630386352539,25.482239770830734,24.899075508544033,25.439125900506742,187756000
2016-04-18,24.388519287109375,24.72207870219888,24.265986515132624,24.70846452682447,243286000
2016-04-19,24.259180068969727,24.506513494558018,24.104879729570712,24.479283411886755,129539600
2016-04-20,24.309101104736328,24.52693658875764,24.066305142537335,24.197914621801004,122444000
2016-04-21,24.045879364013672,24.263714807147394,23.943767863943286,24.263714807147394,126210000
2016-04-22,23.980079650878906,24.161610090382123,23.739553290059334,23.828048903236443,134732400
2016-04-25,23.843929290771484,23.973269147854865,23.714589433688104,23.825775903166228,112126400
2016-04-26,23.678287506103516,23.893855132843587,23.578447316239103,23.578447316239103,224064800
2016-04-27,22.196544647216797,22.398496305875128,21.71095282401562,21.783564636890503,458408400
2016-04-28,21.518077850341797,22.21015881284692,21.386468398554477,22.148893299057473,328970800
2016-04-29,21.27074432373047,21.493118991073924,20.991643350442775,21.32747236087701,274126000
2016-05-02,21.248048782348633,21.34789065975456,20.966678264716016,21.322930190403078,192640400
2016-05-03,21.59749412536621,21.724564349606272,21.257125969407216,21.375119501744134,227325200
2016-05-04,21.37285614013672,21.760875712117674,21.28889802070602,21.602036167076005,164102000
2016-05-05,21.286102294921875,21.47558646786894,21.15825839112268,21.45960597989404,143562000
2016-05-06,21.167388916015625,21.334042316235802,20.968772800264414,21.315780146744064,174799600
2016-05-09,21.183366775512695,21.407093564283763,21.13770700309048,21.23130823024935,131745600
2016-05-10,21.327192306518555,21.361436702273146,21.02812818319591,21.30664671411119,134747200
2016-05-11,21.119449615478516,21.361440367984223,21.10803423435395,21.34089477205115,114876400
2016-05-12,20.62405014038086,21.181087274918664,20.42543575421627,21.167390211525944,305258800
2016-05-13,20.66514778137207,20.9276859205945,20.546435807517753,20.546435807517753,177571200
2016-05-16,21.432209014892578,21.548639273749824,20.923115108488627,21.09205193583078,245039200
2016-05-17,21.34317398071289,21.61940910282761,21.233593998287464,21.585166446908676,187667600
2016-05-18,21.587451934814453,21.735843189676448,21.434495572272688,21.49613584727728,168249600
2016-05-19,21.505264282226562,21.605714060292538,21.36143988869421,21.605714060292538,121768400
2016-05-20,21.738121032714844,21.786062488884802,21.5783144370727,21.60571030134508,128104000
2016-05-23,22.01435661315918,22.187860273853893,21.840852952464466,21.886512727248505,152074400
2016-05-24,22.34994888305664,22.393323492559436,22.107956427509535,22.1947091299998,140560800
2016-05-25,22.742616653442383,22.77001077987523,22.39789271464138,22.525736615974722,152675200
2016-05-26,22.9229679107666,22.996021814445314,22.518887145307446,22.756312767698866,225324800
2016-05-27,22.909269332885742,22.936665200189545,22.658146645366198,22.701522999828267,145364800
2016-05-31,22.797405242919922,22.920684029496943,22.559979625261487,22.73804840306971,169228800
2016-06-01,22.47779655456543,22.724354158290147,22.448119001831813,22.605640463870408,116693200
2016-06-02,22.308860778808594,22.336254908260422,22.060019738583946,22.281464907614048,160766400
2016-06-03,22.35451889038086,22.434421337762906,22.24722057172094,22.324841336136874,114019600
2016-06-06,22.516605377197266,23.26084327311567,22.270049522734844,22.37049755909265,93170000
2016-06-07,22.60792350769043,22.799691110160698,22.59194301929646,22.658148397426515,89638000
2016-06-08,22.587377548217773,22.72891851693019,22.52802070296341,22.605639719129243,83392400
2016-06-09,22.74946403503418,22.827083044993525,22.477794016691593,22.486925972288414,106405600
2016-06-10,22.562267303466797,22.68097926380679,22.48236485499346,22.49377849520808,126851600
