Date,Close,High,Low,Open,Volume
2017-01-03,26.79683494567871,26.838362611667527,26.476149765052995,26.71608719519183,115127600
2017-01-04,26.7668399810791,26.879888584810086,26.7045493661033,26.72761989905105,84472400
2017-01-05,26.90296173095703,26.96063894901325,26.71839392910952,26.74377204586778,88774400
2017-01-06,27.2028865814209,27.260563805016307,26.870665210257194,26.942184404261365,127007600
2017-01-09,27.452045440673828,27.553557897454613,27.209802205404447,27.212108026572132,134247600
2017-01-10,27.479734420776367,27.542025042957096,27.292860794065135,27.40129248747833,97848400
2017-01-11,27.62738800048828,27.668915668724587,27.362072440099055,27.394371542041842,110354400
2017-01-12,27.512033462524414,27.52356961039183,27.27209602026828,27.431285707959617,108344800
2017-01-13,27.463579177856445,27.597390720934097,27.410515372784726,27.479728725457633,104447600
2017-01-17,27.685062408447266,27.740432040416877,27.27440093101565,27.302084866916022,137759200
2017-01-18,27.68276023864746,27.80042226973188,27.618162028693416,27.68506782047988,94852000
2017-01-19,27.634307861328125,27.70582704698302,27.539718140962194,27.546639125358606,102389200
2017-01-20,27.685062408447266,27.788880688411396,27.622771792502558,27.788880688411396,130391600
2017-01-23,27.703521728515625,27.87193821911541,27.63200078139348,27.68506459634417,88200800
2017-01-24,27.67814064025879,27.708132156690723,27.5697072006043,27.58124334701517,92844000
2017-01-25,28.118791580200195,28.169547804451483,27.74965780405722,27.78195689945919,129510400
2017-01-26,28.13263702392578,28.247991446021366,28.054195101613008,28.07034465029964,105350400
2017-01-27,28.13494873046875,28.227232639483432,28.05420097014434,28.178783983288785,82251600
2017-01-30,28.061119079589844,28.061119079589844,27.837332955386962,27.899623575491066,121510000
2017-01-31,27.99652099609375,28.005749562105336,27.828104506847033,27.950379926204814,196804000
2017-02-01,29.703767776489258,30.105202487935948,29.30233482521161,29.306948228255912,447940000
2017-02-02,29.653011322021484,29.851421094665223,29.4799796663556,29.526122497301248,134841600
2017-02-03,29.779903411865234,29.80528153012559,29.567651659295976,29.602256584042724,98029200
2017-02-06,30.059057235717773,30.107507647547603,29.738372046032513,29.79143762097423,107383600
2017-02-07,30.345142364501953,30.474338789629385,30.09597632161109,30.11673927843402,152735200
2017-02-08,30.462791442871094,30.504320861590426,30.273612038568466,30.303605312069244,92016400
2017-02-09,30.682924270629883,30.689875262067016,30.38170167781741,30.504507240674652,113399600
